Rpa;Tipo_cod;Tipo;Cod_escola;Escola;Inep;Rua;Numero;Cod_bairro;Bairro;Metragem;Qtd_alunos;Qtd_turmas;Qtd_professores;Escola_climatizada;Data_visita;Quadra_coberta;Quadra_descoberta;Biblioteca;Sala_recurso;Gestor;Longitude;Latitude;Região
5;1;ESCOLA MUNICIPAL;2;DE TEJIPIO;26123550.0;TUTOIA;165;922;COQUEIRAL;757,8;460;20;25;NÂO;08/02/2017;NÃO;NÃO;SIM;SIM;MARCELLE PEREIRA DE LIMA BARBOSA;-34.964;-8.092;Sudeste
5;1;ESCOLA MUNICIPAL;948;DO BARRO;26168073.0;GUIRAGIBE;117;876;BARRO;244,6;194;10;8;NÂO;;NÃO;NÃO;SIM;SIM;LILIA MARIA DA SILVA SANTOS AGUIAR;-34.942;-8.0888;Sudeste
5;1;ESCOLA MUNICIPAL;927;DO PANTANAL;26168111.0;PADRE DIOGO;240;876;BARRO;195;138;9;4;SIM;16/04/2018;NÃO;NÃO;NÃO;NÃO;KATIA PAIXAO DA SILVA;-34.958;-8.1062;Sudeste
5;1;ESCOLA MUNICIPAL;952;DO PANTANAL - ANEXO I;26168111.0;PADRE DIOGO RODRIGUES;35;876;BARRO;195;108;6;4;SIM;16/04/2018;NÃO;NÃO;NÃO;NÃO;;-34.958;-8.1063;Sudeste
5;1;ESCOLA MUNICIPAL;995;DO PANTANAL - ANEXO II;26168111.0;PRESIDENTE MEDICE;115;876;BARRO;195;66;4;3;SIM;16/04/2018;NÃO;NÃO;NÃO;NÃO;;-34.958;-8.1068;Sudeste
5;1;ESCOLA MUNICIPAL;950;DO SANCHO;26168120.0;JOAO FERREIRA;427;906;SANCHO;759;349;20;17;NÂO;;NÃO;SIM;SIM;SIM;MARCIA REJANE DA SILVA;-34.96;-8.0872;Sudeste
5;1;ESCOLA MUNICIPAL;29;DOM BOSCO;26123487.0;ALVENOPOLIS;600;868;JARDIM SAO PAULO;1652;445;14;16;NÂO;;NÃO;SIM;SIM;SIM;JOSE GOMES DOS SANTOS;-34.948;-8.0794;Sudeste
5;1;ESCOLA MUNICIPAL;84;DOS REMEDIOS;26119145.0;DO BONGI;91;663;PRADO;732,5;361;22;15;NÂO;19/06/2017;SIM;NÃO;SIM;SIM;IRACEMA PORTO VALENCA DOS SANTOS;-34.909;-8.0687;Oeste
5;1;ESCOLA MUNICIPAL;89;DOUTOR ANTONIO CORREIA;26123495.0;MANOEL SALVADOR;360;876;BARRO;373;206;17;13;NÂO;02/04/2018;NÃO;NÃO;NÃO;NÃO;FLAVIA RENATA FARIAS PUGLIESI;-34.942;-8.0888;Sudeste
5;1;ESCOLA MUNICIPAL;291;EDITE BRAGA;26123088.0;NICOLAU PEREIRA;85;779;AFOGADOS;331,2;358;19;19;NÂO;;NÃO;NÃO;SIM;NÃO;EDMILSA JOSEFA DE SANTANA;-34.905;-8.0791;Sudeste
5;1;ESCOLA MUNICIPAL;602;ESCOLA SANTA LUZIA;26190915.0;PROFESSOR CALDAS FILHO;186;833;ESTANCIA;;396;16;17;NÂO;;SIM;NÃO;SIM;SIM;GEORGE DA SILVA PEREIRA;-34.928;-8.0853;Sudeste
5;1;ESCOLA MUNICIPAL;76;GENERAL SAN MARTIN;26119617.0;GENERAL SAN MARTIN;1864;817;SAN MARTIN;762,7;409;20;14;NÂO;;NÃO;NÃO;NÃO;SIM;ELISANGELA DA SILVA RIBEIRO;-34.928;-8.0673;Sudeste
5;1;ESCOLA MUNICIPAL;917;GOVERNADOR MIGUEL ARRAES DE ALENCAR;26177951.0;TAPAJOS;419;833;ESTANCIA;708,5;514;27;20;SIM;03/07/2017;SIM;NÃO;SIM;SIM;MARIA SALVIANA SANTOS DE SANTANA;-34.925;-8.0924;Sudeste
5;1;ESCOLA MUNICIPAL;24;HUGO GERDAU;26120810.0;CORONEL MIZAEL DE MENDONCA;S/N;817;SAN MARTIN;645,5;407;17;17;SIM;12/04/2017;SIM;NÃO;SIM;SIM;MARIDJA ARAUJO DE MELO;-34.936;-8.0695;Sudeste
5;1;ESCOLA MUNICIPAL;371;ISAAC PEREIRA DA SILVA;26158310.0;OITICICA LINS;S/N;850;AREIAS;613,8;249;12;8;SIM;;NÃO;NÃO;SIM;SIM;MARIA LUCIA DE SENA TENORIO SANTOS;-34.934;-8.0932;Sudeste
